Thread Name,Function Name,Stack Allocated(KB),Maximum Stack Required(KB),Error Info
0 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4,xxxxx,Function Missing
281 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4,xxxxx,Function Missing
284 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4,xxxxx,Function Missing
287 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4,xxxxx,Function Missing
352 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4,xxxxx,Function Missing
371 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4,xxxxx,Function Missing
384 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4,xxxxx,Function Missing
AA0D,AudPP_WorkLoop,8,xxxxx,Function Missing
AB0C,AudPP_WorkLoop,8,xxxxx,Function Missing
AB11,AudioEncSvc_WorkLoop,8,xxxxx,Function Missing
ACS,AdspCoreSvc_WorkLoop,4,xxxxx,Function Missing
ADec,AudioDecSvc_WorkLoop,4,xxxxx,Function Missing
ADM,AdmWorkLoop,8,xxxxx,Function Missing
adsppm_asyncmgr,AM_WorkLoopThread,4,xxxxx,Function Missing
adsppm_cb,AM_callBackThread,4,xxxxx,Function Missing
adsppmThermalQm,adsppm_therm_qmi_service_thread,8,xxxxx,Function Missing
AEnc,AudioEncSvc_WorkLoop,4,xxxxx,Function Missing
Af0,afe_pseudo_port_work_loop,4,xxxxx,Function Missing
Af1,afe_pseudo_port_work_loop,4,xxxxx,Function Missing
Af2,afe_pseudo_port_work_loop,4,xxxxx,Function Missing
Af3,afe_pseudo_port_work_loop,4,xxxxx,Function Missing
Af4,afe_pseudo_port_work_loop,4,xxxxx,Function Missing
Afe0,afe_svc_thread_pool_work_loop,4,xxxxx,Function Missing
Afe1,afe_svc_thread_pool_work_loop,4,xxxxx,Function Missing
Afe2,afe_svc_thread_pool_work_loop,4,xxxxx,Function Missing
AfeANC,afe_svc_aanc_work_loop,4,xxxxx,Function Missing
AfeDataMgr,afe_rtppdm_work_loop,4,xxxxx,Function Missing
AfeS,afe_svc_work_loop,4,xxxxx,Function Missing
AfeSh,afe_svc_hlp_work_loop,4,xxxxx,Function Missing
AfeV,afe_svc_vfr_work_loop,4,xxxxx,Function Missing
Alp0,afe_svc_thread_pool_work_loop,4,xxxxx,Function Missing
ASM,AudioStreamMgr_WorkLoop,8,xxxxx,Function Missing
AVT,avtimer_server_workloop,4,xxxxx,Function Missing
CC0F,AudPP_WorkLoop,8,xxxxx,Function Missing
CD0F,AudPP_WorkLoop,8,xxxxx,Function Missing
CD14,AudPP_WorkLoop,8,xxxxx,Function Missing
CodecIntHldr,afe_svc_cdc_handler_workloop,4,xxxxx,Function Missing
CodecIntHldr,afe_svc_cdc_handler_workloop,4,xxxxx,Function Missing
CVP_TASK,cvp_task,8,xxxxx,Function Missing
CVS_IST,cvs_ist,8,xxxxx,Function Missing
DAL_WL_0,_WorkLoopExecute,4,xxxxx,Function Missing
DAL_WL_1,_WorkLoopExecute,4,xxxxx,Function Missing
DAL_WL_2,_WorkLoopExecute,8,xxxxx,Function Missing
DAL_WL_3,_WorkLoopExecute,8,xxxxx,Function Missing
DAL_WL_4,_WorkLoopExecute,8,xxxxx,Function Missing
DAL_WL_5,_WorkLoopExecute,8,xxxxx,Function Missing
DAL_WL_6,_WorkLoopExecute,8,xxxxx,Function Missing
dbgr_tx_loop,dbgr_platform_wait_for_monitor_events,2,xxxxx,Function Missing
DIAG_LSM,diag_qdi_invoke,1.9,xxxxx,Function Missing
diag_task,diag_handle_sigs,4,xxxxx,Function Missing
err_ex,reaper_entry,4,xxxxx,Function Missing
H264E_DB1,VideoEncSvc_WorkLoop,16,xxxxx,Function Missing
H264E_DB2,VideoEncSvc_WorkLoop,16,xxxxx,Function Missing
H264E_DB3,VideoEncSvc_WorkLoop,16,xxxxx,Function Missing
H264E_MAIN1,VideoEncMainWorkerWorkLoop,4,xxxxx,Function Missing
H264E_MAIN2,VideoEncMainWorkerWorkLoop,4,xxxxx,Function Missing
H264E_MAIN3,VideoEncMainWorkerWorkLoop,4,xxxxx,Function Missing
H264E_MOT1,VideoEncMotEstWorkLoop,4,xxxxx,Function Missing
H264E_MOT2,VideoEncMotEstWorkLoop,4,xxxxx,Function Missing
H264E_MOT3,VideoEncMotEstWorkLoop,4,xxxxx,Function Missing
IPCRDR_RDR,signal_group_invoke,1.9,xxxxx,Function Missing
IPCSMDL_W,ipc_router_xal_smdl_worker_thread,3,xxxxx,Function Missing
IST11,ISTMain,2,xxxxx,Function Missing
IST12,ISTMain,2,xxxxx,Function Missing
IST14,ISTMain,1,xxxxx,Function Missing
IST18,ISTMain,2,xxxxx,Function Missing
IST21,ISTMain,2,xxxxx,Function Missing
IST23,ISTMain,2,xxxxx,Function Missing
IST3,ISTMain,2,xxxxx,Function Missing
IST30,ISTMain,2,xxxxx,Function Missing
IST33,ISTMain,2,xxxxx,Function Missing
IST38,ISTMain,2,xxxxx,Function Missing
IST4,ISTMain,2,xxxxx,Function Missing
IST46,ISTMain,2,xxxxx,Function Missing
IST5,ISTMain,2,xxxxx,Function Missing
IST52,ISTMain,2,xxxxx,Function Missing
IST6,ISTMain,2,xxxxx,Function Missing
IST66,ISTMain,2,xxxxx,Function Missing
IST7,ISTMain,2,xxxxx,Function Missing
IST8,ISTMain,2,xxxxx,Function Missing
IST85,ISTMain,2,xxxxx,Function Missing
IST88,ISTMain,1,xxxxx,Function Missing
IST9,ISTMain,2,xxxxx,Function Missing
IST90,ISTMain,2,xxxxx,Function Missing
kernel_root,main,8,xxxxx,Function Missing
LSM,lsm_workloop,4,xxxxx,Function Missing
MVM_TASK,mvm_task,8,xxxxx,Function Missing
MXAR,MtMxWorkLoop,4,xxxxx,Function Missing
MXAT,MtMxWorkLoop,4,xxxxx,Function Missing
NPA_ASYNC_EVENT,Core_WorkLoopProcess,8,xxxxx,Function Missing
NPA_ASYNC_REQUE,_WorkLoopExecute,8,xxxxx,Function Missing
npaScheduler,npaScheduler_task,8,xxxxx,Function Missing
QMI_PING_SVC,qmi_ping_service_thread,2,xxxxx,Function Missing
qtimerIST,qurt_timer_IST,1,xxxxx,Function Missing
QURT_fatalNotif,qurt_fatal_notification_handler,1,xxxxx,Function Missing
qurt_timerCli,qurt_timer_driver_client,4,xxxxx,Function Missing
rcinit,RCINIT_NULL,6,xxxxx,Function Missing
rcinit_worker,_WorkLoopExecute,4,xxxxx,Function Missing
reaper,reaper_entry,4,xxxxx,Function Missing
riva_ipc_isr,qurt_elite_interrupt_workloop,1,xxxxx,Function Missing
RXSR,stream_router_svc_workloop,4,xxxxx,Function Missing
sleep,sleep_task,4,xxxxx,Function Missing
SlimBusQmiSvc,slimbus_qmi_service_thread,4,xxxxx,Function Missing
SMSM_QDI,signal_invoke,1.9,xxxxx,Function Missing
SNS_DEBUG,sns_debug_task,3,xxxxx,Function Missing
SNS_EVMGR,em_thread,1,xxxxx,Function Missing
SNS_PM,sns_pm_main,3,xxxxx,Function Missing
SNS_SAM,sns_sam_task,6,xxxxx,Function Missing
SNS_SCM,sns_scm_task,3,xxxxx,Function Missing
SNS_SMGR,sns_os_sigs_pend,6,xxxxx,Function Missing
sys_m,sys_m_task,4,xxxxx,Function Missing
sys_m_smsm,sys_m_smsm_task,4,xxxxx,Function Missing
thread_SigVerif,SigVerify_Init,8,xxxxx,Function Missing
timer,timer_task,4,xxxxx,Function Missing
TXSR,stream_router_svc_workloop,4,xxxxx,Function Missing
USM,usm_workloop,4,xxxxx,Function Missing
VDC0,vdec_thread,24,xxxxx,Function Missing
VDP0,vdec_pp_thread,24,xxxxx,Function Missing
VDP1,VDecParserWorkLoop,16,xxxxx,Function Missing
VDS1,vds_thread,2,xxxxx,Function Missing
VDW0,VDecWorkersWorkLoop,16,xxxxx,Function Missing
VDW1,VDecWorkersWorkLoop,16,xxxxx,Function Missing
VDW2,VDecWorkersWorkLoop,16,xxxxx,Function Missing
VEC0,venc_thread,24,xxxxx,Function Missing
VfrD,vfr_svc_work_loop,4,xxxxx,Function Missing
VIDDS,VideoDecSvc_WorkLoop,2,xxxxx,Function Missing
VideoEncDynServ,VideoEncSvc_WorkLoop,4,xxxxx,Function Missing
VISM,VideoStreamMgr_WorkLoop,8,xxxxx,Function Missing
VISM,VideoStreamMgr_WorkLoop,8,xxxxx,Function Missing
VMX1,vmx_workloop,4,xxxxx,Function Missing
VMX2,vmx_workloop,4,xxxxx,Function Missing
VPM,voice_proc_mgr_thread,7,xxxxx,Function Missing
VPR0,vprx_thread,16,xxxxx,Function Missing
VPT0,vptx_thread,128,xxxxx,Function Missing
VSM,vsm_thread,4,xxxxx,Function Missing
VTM,vtm_thread,2,xxxxx,Function Missing
WDT_ist,WDT_task,3,xxxxx,Function Missing
